session_id,timestamp,dimension,stint_id
20260412_175523_fa92,2026-04-12 18:05:25,past,58
20260412_175523_fa92,2026-04-12 18:05:26,past,58
20260412_175523_fa92,2026-04-12 18:05:26,past,58
20260412_175523_fa92,2026-04-12 18:05:27,past,58
20260412_175523_fa92,2026-04-12 18:05:28,past,58
20260412_175523_fa92,2026-04-12 18:05:28,past,58
20260412_175523_fa92,2026-04-12 18:05:29,past,58
20260412_175523_fa92,2026-04-12 18:05:31,past,58
20260412_175523_fa92,2026-04-12 18:05:32,past,58
20260412_175523_fa92,2026-04-12 18:05:32,past,58
20260412_175523_fa92,2026-04-12 18:05:34,past,58
20260412_175523_fa92,2026-04-12 18:05:34,past,58
20260412_175523_fa92,2026-04-12 18:05:35,past,58
20260412_175523_fa92,2026-04-12 18:05:35,past,58
20260412_175523_fa92,2026-04-12 18:05:37,past,58
20260412_175523_fa92,2026-04-12 18:05:38,past,58
20260412_175523_fa92,2026-04-12 18:05:39,past,58
20260412_175523_fa92,2026-04-12 18:05:43,past,58
20260412_175523_fa92,2026-04-12 18:05:44,present,59
20260412_175523_fa92,2026-04-12 18:05:47,future,60
20260412_175523_fa92,2026-04-12 18:05:50,future,60
20260412_175523_fa92,2026-04-12 18:05:52,future,60
20260412_175523_fa92,2026-04-12 18:05:52,future,60
20260412_175523_fa92,2026-04-12 18:05:53,future,60
20260412_175523_fa92,2026-04-12 18:05:53,future,60
20260412_175523_fa92,2026-04-12 18:05:53,future,60
20260412_175523_fa92,2026-04-12 18:05:54,future,60
20260412_175523_fa92,2026-04-12 18:05:54,future,60
20260412_175523_fa92,2026-04-12 18:05:54,future,60
20260412_175523_fa92,2026-04-12 18:05:55,future,60
20260412_175523_fa92,2026-04-12 18:05:55,future,60
20260412_175523_fa92,2026-04-12 18:05:55,future,60
20260412_175523_fa92,2026-04-12 18:05:55,future,60
20260412_175523_fa92,2026-04-12 18:05:56,future,60
20260412_175523_fa92,2026-04-12 18:05:56,future,60
20260412_175523_fa92,2026-04-12 18:05:56,future,60
20260412_175523_fa92,2026-04-12 18:05:56,future,60
20260412_175523_fa92,2026-04-12 18:05:57,future,60
20260412_175523_fa92,2026-04-12 18:05:57,future,60
20260412_175523_fa92,2026-04-12 18:05:57,future,60
20260412_175523_fa92,2026-04-12 18:05:58,future,60
20260412_175523_fa92,2026-04-12 18:05:58,future,60
20260412_175523_fa92,2026-04-12 18:05:58,future,60
20260412_175523_fa92,2026-04-12 18:05:59,future,60
20260412_175523_fa92,2026-04-12 18:06:00,future,60
20260412_175523_fa92,2026-04-12 18:06:00,future,60
20260412_175523_fa92,2026-04-12 18:06:01,future,60
20260412_175523_fa92,2026-04-12 18:06:02,future,60
20260412_175523_fa92,2026-04-12 18:06:03,future,60
20260412_175523_fa92,2026-04-12 18:06:05,future,60
20260412_175523_fa92,2026-04-12 18:06:06,present,61
20260412_175523_fa92,2026-04-12 18:06:06,future,62
20260412_175523_fa92,2026-04-12 18:06:07,future,62
20260412_175523_fa92,2026-04-12 18:06:08,future,62
20260412_175523_fa92,2026-04-12 18:06:10,past,63
20260412_175523_fa92,2026-04-12 18:06:14,past,63
20260412_175523_fa92,2026-04-12 18:06:17,past,63
20260412_175523_fa92,2026-04-12 18:06:18,past,63
20260412_175523_fa92,2026-04-12 18:06:20,past,63
20260412_175523_fa92,2026-04-12 18:06:20,past,63
20260412_175523_fa92,2026-04-12 18:06:22,past,63
20260412_175523_fa92,2026-04-12 18:06:25,past,63
20260412_175523_fa92,2026-04-12 18:06:25,past,63
20260412_175523_fa92,2026-04-12 18:06:28,past,63
20260412_175523_fa92,2026-04-12 18:06:29,past,63
20260412_175523_fa92,2026-04-12 18:06:29,past,63
20260412_175523_fa92,2026-04-12 18:06:30,past,63
20260412_175523_fa92,2026-04-12 18:06:30,past,63
20260412_175523_fa92,2026-04-12 18:06:31,past,63
20260412_175523_fa92,2026-04-12 18:06:36,past,63
20260412_175523_fa92,2026-04-12 18:06:38,past,63
