session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 18:04:42,328,522,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:42,348,534,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:42,383,454,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:43,287,533,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:43,345,478,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:44,264,547,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:44,340,449,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:45,230,538,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:45,315,472,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:46,315,472,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:46,248,546,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:46,389,458,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:46,389,459,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:47,329,530,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:47,325,530,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:48,311,539,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:48,398,483,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:48,398,483,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:48,348,532,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:49,374,476,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:49,374,476,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:49,387,513,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:50,396,520,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:50,368,286,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:50,297,328,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:51,253,339,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:51,252,330,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:51,362,316,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:51,394,342,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:51,452,304,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:52,477,298,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:52,431,547,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:53,443,479,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:53,442,479,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:55,256,47,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:55,70,141,Zone 1,future
20260412_175523_fa92,2026-04-12 18:04:57,310,547,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:58,326,414,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:58,326,422,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:58,385,331,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:59,286,264,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:59,250,286,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:59,203,279,Zone 4,future
20260412_175523_fa92,2026-04-12 18:04:59,107,311,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:00,110,133,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:00,431,212,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:00,431,213,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:01,375,534,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:02,65,214,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:03,275,269,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:03,389,117,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:04,547,76,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:04,548,110,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:04,598,139,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:05,581,454,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:06,769,536,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:06,485,411,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:09,363,340,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:09,332,351,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:09,414,309,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:09,411,319,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:10,96,367,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:10,45,406,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:10,390,465,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:10,280,424,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:11,253,332,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:16,291,526,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:16,263,542,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:17,572,50,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:23,626,22,Zone 4,present
20260412_175523_fa92,2026-04-12 18:05:24,680,48,Zone 4,future
20260412_175523_fa92,2026-04-12 18:05:25,511,30,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:26,368,533,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:26,293,544,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:27,128,163,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:28,278,472,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:28,355,521,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:29,88,85,Zone 4,past
20260412_175523_fa92,2026-04-12 18:05:31,414,411,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:32,633,127,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:32,652,132,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:34,229,534,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:34,409,465,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:35,266,546,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:35,379,474,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:37,223,533,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:38,70,179,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:39,70,179,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:43,268,540,Zone 1,past
20260412_175523_fa92,2026-04-12 18:05:44,613,39,Zone 1,present
20260412_175523_fa92,2026-04-12 18:05:47,693,56,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:50,307,425,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:52,489,545,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:52,464,469,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:53,529,518,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:53,453,406,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:53,455,433,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:54,454,436,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:54,454,436,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:54,461,543,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:55,442,467,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:55,442,467,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:55,393,531,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:55,403,466,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:56,403,466,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:56,337,554,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:56,362,480,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:56,362,480,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:57,306,528,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:57,355,450,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:57,263,506,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:58,267,523,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:58,195,546,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:58,368,426,Zone 1,future
20260412_175523_fa92,2026-04-12 18:05:59,396,499,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:00,534,517,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:00,88,196,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:01,70,198,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:02,488,542,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:03,67,182,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:05,246,542,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:06,618,51,Zone 1,present
20260412_175523_fa92,2026-04-12 18:06:06,701,37,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:07,66,196,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:08,66,196,Zone 1,future
20260412_175523_fa92,2026-04-12 18:06:10,557,52,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:14,760,201,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:17,538,535,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:18,50,213,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:20,483,547,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:20,69,178,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:22,469,379,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:25,309,315,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:25,274,468,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:28,64,158,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:29,372,516,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:29,354,548,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:30,140,183,Zone 4,past
20260412_175523_fa92,2026-04-12 18:06:30,393,393,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:31,481,436,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:36,466,163,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:38,490,444,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:39,489,450,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:41,371,489,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:42,579,104,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:44,434,405,Zone 1,past
20260412_175523_fa92,2026-04-12 18:06:44,474,452,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:45,32,290,Zone 5,past
20260412_175523_fa92,2026-04-12 18:06:46,505,508,Zone 6,past
20260412_175523_fa92,2026-04-12 18:06:47,409,535,Zone 6,past
